group_id,consensus_gene_name,consensus_product,experiment_id,treatment_type,background_factors,organism_name,coculture_partner,timepoint,timepoint_hours,timepoint_order,growth_phase,genes_with_expression,significant_up,significant_down,not_significant,total_genes
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/spectrum.03275-22_dark_high_glucose_wh8102_proteomics,carbon,coculture | darkness,Synechococcus WH8102,,darkness,,1,darkness,1,0,0,1,2
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/spectrum.03275-22_dark_low_glucose_wh8102_proteomics,carbon,coculture | darkness,Synechococcus WH8102,,darkness,,1,darkness,1,0,0,1,2
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/spectrum.03275-22_light_high_glucose_wh8102_proteomics,carbon,coculture | light,Synechococcus WH8102,,stationary,,1,stationary,1,0,0,1,2
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1128/spectrum.03275-22_light_low_glucose_wh8102_proteomics,carbon,coculture | light,Synechococcus WH8102,,stationary,,1,stationary,1,0,0,1,2
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_dark,light,axenic,Prochlorococcus MED4,,8.5h post-inoculation,8.5,4,acute_stress,1,0,1,0,1
cyanorak:CK_00000076,urtA,"ABC-type urea transporter, substrate binding component",10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_infected,light,viral,Prochlorococcus MED4,,8.5h post-inoculation,8.5,5,infected,1,0,1,0,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1016/j.micres.2015.04.006_salt_saltacclimated_5_salt_as9601_rnaseq,salt,axenic | light,Prochlorococcus AS9601,,acclimated,,1,acclimated_steady_state,1,1,0,0,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1021/pr060460c_light_HL_vs_LL_med4_proteomics,light,axenic | diel,Prochlorococcus MED4,,acclimated mid-exponential,,1,acclimated_steady_state,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1021/pr060460c_light_ML_vs_LL_med4_proteomics,light,axenic | diel,Prochlorococcus MED4,,acclimated mid-exponential,,1,acclimated_steady_state,1,1,0,0,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/ismej.2015.36_carbon_low_co2_0004_co2_med4_microarray,carbon,axenic | light,Prochlorococcus MED4,,max across 3-24h,,1,acute_stress,1,0,1,0,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,light,Prochlorococcus MED4,Alteromonas macleodii HOT1A3,20h,20.0,1,exponential,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_mit9313_rnaseq_inoc_05e6,coculture,light,Prochlorococcus MIT9313,Alteromonas macleodii HOT1A3,20h,20.0,1,exponential,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_mit9313_rnaseq_inoc_5e6,coculture,light,Prochlorococcus MIT9313,Alteromonas macleodii HOT1A3,20h,20.0,1,exponential,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,axenic | light,Prochlorococcus MED4,,3h,3.0,1,acute_stress,1,1,0,0,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,axenic | light,Prochlorococcus MED4,,12h,12.0,2,acute_stress,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen,axenic | light,Prochlorococcus MED4,,24h,24.0,3,nutrient_limited,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray,nitrogen,axenic | light,Prochlorococcus MED4,,steady state,,1,exponential,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_growth_medium_growth_on_nitrite_as_mit9313_microarray,nitrogen,axenic | light,Prochlorococcus MIT9313,,steady state,,1,exponential,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray,nitrogen,axenic | light,Prochlorococcus MED4,,steady state,,1,exponential,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_growth_medium_growth_on_urea_as_mit9313_microarray,nitrogen,axenic | light,Prochlorococcus MIT9313,,steady state,,1,exponential,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,axenic | light,Prochlorococcus MED4,,0h,0.0,1,acute_stress,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,axenic | light,Prochlorococcus MED4,,3h,3.0,2,acute_stress,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,axenic | light,Prochlorococcus MED4,,6h,6.0,3,acute_stress,1,1,0,0,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,axenic | light,Prochlorococcus MED4,,12h,12.0,4,acute_stress,1,0,0,1,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,axenic | light,Prochlorococcus MED4,,24h,24.0,5,acute_stress,1,1,0,0,1
cyanorak:CK_00000244,amt1,ammonium transporter,10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray,nitrogen,axenic | light,Prochlorococcus MED4,,48h,48.0,6,acute_stress,1,0,0,1,1
