priority,in_cyanorak,kind,kg_fit_score,n_seeds,seeds,pools,best_identity,year,title,doi,pmcid,pmid,homolog_genera,meta
1,True,other,1,2,PMM1135;PMM1404,pro,100,2008,The challenge of regulation in a minimal photoautotroph: non-coding RNAs in Prochlorococcus,10.1371/journal.pgen.1000173,PMC2518516,,Prochlorococcus,"Steglich, PLoS genetics 2008"
1,True,other,1,2,PMM1135;PMM1404,pro,91,2007,Deductive biocomputing,10.1371/journal.pone.0000339,PMC1838522,,Prochlorococcus,"Shrager, PloS one 2007"
1,True,other,1,2,PMM1135;PMM1404,pro,91,2021,Frequency of mispackaging of Prochlorococcus DNA by cyanophage,10.1038/s41396-020-00766-0,PMC7852597,,Prochlorococcus,"Laurenceau, The ISME journal 2021"
1,True,other,1,2,PMM1135;PMM1404,pro,73,2012,ProPortal: a resource for integrated systems biology of Prochlorococcus and its phage,10.1093/nar/gkr1022,PMC3245167,,Prochlorococcus,"Kelly, Nucleic acids research 2012"
1,True,other,1,2,PMM1135;PMM1404,pro,72,2010,Ultraviolet stress delays chromosome replication in light/dark synchronized cells of the marine cyanobacterium Prochlorococcus marinus PCC9511,10.1186/1471-2180-10-204,PMC2921402,,Prochlorococcus,"Kolowrat, BMC microbiology 2010"
1,True,other,1,1,PMM1028,pro,100,2005,Identification of cyanobacterial non-coding RNAs by comparative genome analysis,10.1186/gb-2005-6-9-r73,PMC1242208,,Prochlorococcus,"Axmann, Genome biology 2005"
1,True,other,1,1,Pro0418,pro,100,2003,"Genome sequence of the cyanobacterium Prochlorococcus marinus SS120, a nearly minimal oxyphototrophic genome",10.1073/pnas.1733211100,PMC187748,,Prochlorococcus,"Dufresne, Proceedings of the National Academy of Sciences of the United States of America 2003"
1,True,other,1,1,PMT9312_0549,pro,99,2007,"Cryo-electron tomography reveals the comparative three-dimensional architecture of Prochlorococcus, a globally important marine cyanobacterium",10.1128/jb.01948-06,PMC1913349,,Prochlorococcus,"Ting, Journal of bacteriology 2007"
1,True,other,1,1,PMT9312_0549,pro,99,2022,A Cyanophage MarR-Type Transcription Factor Regulates Host RNase E Expression during Infection,10.3390/microorganisms10112245,PMC9692554,,Prochlorococcus,"Lambrecht, Microorganisms 2022"
1,True,other,1,1,PMT9312_0550,pro,94,2006,Computational inference and experimental validation of the nitrogen assimilation regulatory network in cyanobacterium Synechococcus sp. WH 8102,10.1093/nar/gkj496,PMC1363776,,Parasynechococcus,"Su, Nucleic acids research 2006"
