priority,in_cyanorak,kind,kg_fit_score,n_seeds,seeds,pools,best_identity,year,title,doi,pmcid,pmid,homolog_genera,meta
1,True,comparative_genomics,2,1,BL107_16040,syn,97,2013,Impact of DNA damaging agents on genome-wide transcriptional profiles in two marine Synechococcus species,10.3389/fmicb.2013.00232,PMC3744912,,Synechococcus,"Tetu, Frontiers in microbiology 2013"
1,True,other,1,2,PMM1135;PMM1404,pro,100,2008,The challenge of regulation in a minimal photoautotroph: non-coding RNAs in Prochlorococcus,10.1371/journal.pgen.1000173,PMC2518516,,Prochlorococcus,"Steglich, PLoS genetics 2008"
1,True,other,1,2,BL107_16040;PMT9312_0549,pro;syn,99,2022,A Cyanophage MarR-Type Transcription Factor Regulates Host RNase E Expression during Infection,10.3390/microorganisms10112245,PMC9692554,,Prochlorococcus,"Lambrecht, Microorganisms 2022"
1,True,other,1,2,PMM1135;PMM1404,pro,91,2007,Deductive biocomputing,10.1371/journal.pone.0000339,PMC1838522,,Prochlorococcus,"Shrager, PloS one 2007"
1,True,other,1,2,PMM1135;PMM1404,pro,91,2021,Frequency of mispackaging of Prochlorococcus DNA by cyanophage,10.1038/s41396-020-00766-0,PMC7852597,,Prochlorococcus,"Laurenceau, The ISME journal 2021"
1,True,other,1,2,PMM1135;PMM1404,pro,73,2012,ProPortal: a resource for integrated systems biology of Prochlorococcus and its phage,10.1093/nar/gkr1022,PMC3245167,,Prochlorococcus,"Kelly, Nucleic acids research 2012"
1,True,other,1,2,PMM1135;PMM1404,pro,72,2010,Ultraviolet stress delays chromosome replication in light/dark synchronized cells of the marine cyanobacterium Prochlorococcus marinus PCC9511,10.1186/1471-2180-10-204,PMC2921402,,Prochlorococcus,"Kolowrat, BMC microbiology 2010"
1,True,other,1,1,PMM1028,pro,100,2005,Identification of cyanobacterial non-coding RNAs by comparative genome analysis,10.1186/gb-2005-6-9-r73,PMC1242208,,Prochlorococcus,"Axmann, Genome biology 2005"
1,True,other,1,1,Pro0418,pro,100,2003,"Genome sequence of the cyanobacterium Prochlorococcus marinus SS120, a nearly minimal oxyphototrophic genome",10.1073/pnas.1733211100,PMC187748,,Prochlorococcus,"Dufresne, Proceedings of the National Academy of Sciences of the United States of America 2003"
1,True,other,1,1,PMT9312_0549,pro,99,2007,"Cryo-electron tomography reveals the comparative three-dimensional architecture of Prochlorococcus, a globally important marine cyanobacterium",10.1128/jb.01948-06,PMC1913349,,Prochlorococcus,"Ting, Journal of bacteriology 2007"
1,True,other,1,1,PMT9312_0550,pro,94,2006,Computational inference and experimental validation of the nitrogen assimilation regulatory network in cyanobacterium Synechococcus sp. WH 8102,10.1093/nar/gkj496,PMC1363776,,Parasynechococcus,"Su, Nucleic acids research 2006"
1,True,other,1,1,PMT9312_0550,pro,94,2023,Red Rubiscos and opportunities for engineering green plants,10.1093/jxb/erac349,PMC9833100,,Cyanobium,"Oh, Journal of experimental botany 2023"
1,True,other,1,1,BL107_16040,syn,92,2024,BEAN and HABAS: Polyphyletic insertions in the DNA-directed RNA polymerase,10.1002/pro.5194,PMC11515920,,Prochlorococcus,"Alvarez-Carreño, Protein science : a publication of the Protein Society 2024"
1,True,other,1,1,BL107_11441,syn,82,2011,Examination of microbial proteome preservation techniques applicable to autonomous environmental sample collection,10.3389/fmicb.2011.00215,PMC3209654,,Synechococcus,"Saito, Frontiers in microbiology 2011"
1,True,other,1,1,SynWH7803_0353,syn,77,2013,Proteomic responses of oceanic Synechococcus WH8102 to phosphate and zinc scarcity and cadmium additions,10.3389/fmicb.2013.00387,PMC3865332,,Parasynechococcus,"Cox, Frontiers in microbiology 2013"
1,True,other,1,1,BL107_11441,syn,75,2009,Coastal strains of marine Synechococcus species exhibit increased tolerance to copper shock and a distinctive transcriptional response relative to those of open-ocean strains,10.1128/aem.00271-09,PMC2725496,,Synechococcus,"Stuart, Applied and environmental microbiology 2009"
1,True,other,1,1,SYNW1812,syn,69,2012,Diversity of nonribosomal peptide synthetase genes in the microbial metagenomes of marine sponges,10.3390/md10061192,PMC3397433,,Prochlorococcus,"Pimentel-Elardo, Marine drugs 2012"
1,True,other,1,1,SynWH7803_0353,syn,51,2018,The distribution of divinyl chlorophylls a and b and the presence of ferredoxin-NADP+ reductase in Prochlorococcus marinus MIT9313 thylakoid membranes,10.1016/j.heliyon.2018.e01100,PMC6312871,,Prochlorococcus,"Barrera-Rojas, Heliyon 2018"
1,True,other,1,1,PMM1135,pro,47,2007,Computational prediction of Pho regulons in cyanobacteria,10.1186/1471-2164-8-156,PMC1906773,,Synechococcus,"Su, BMC genomics 2007"
