pool,sel_rank,locus_tag,protein_id,n_files,files,status
alt,1,EZ55_00751,WP_061485171.1,1,alt/EZ55_00751.mhtml,ok
alt,2,DEH24_16585,HBY41045.1,1,alt/DEH24_16585.mhtml,ok
alt,3,DEH24_02300,HBY38216.1,1,alt/DEH24_02300.mhtml,ok
alt,4,EZ55_01060,WP_014975883.1,1,alt/EZ55_01060.mhtml,ok
alt,5,DEH24_14130,HBY40558.1,1,alt/HBY40558.mhtml,ok
alt,6,EZ55_02117,WP_020745975.1,1,alt/WP_020745975.mhtml,ok
alt,7,ACZ81_05680,WP_014948722.1,1,alt/WP_014948722.mhtml,ok
alt,8,ACZ81_12890,WP_061486133.1,1,alt/WP_061486133.mhtml,ok
other_hetero,1,HP15_2958,WP_041645557.1,0,,MISSING
other_hetero,2,HP15_529,WP_014576075.1,0,,MISSING
other_hetero,3,HP15_3759,WP_014578889.1,0,,MISSING
other_hetero,4,SPO0362,WP_044027809.1,0,,MISSING
other_hetero,5,M8001_21015,WP_010954815.1,0,,MISSING
other_hetero,6,SPO0347,WP_011046108.1,0,,MISSING
other_hetero,7,SPO3109,WP_011048799.1,0,,MISSING
other_hetero,8,Sputw3181_0575,WP_011787958.1,0,,MISSING
pro,1,PMM1028,WP_011132661.1,1,prochlorococcus/PMM1028.html,ok
pro,2,PMM1404,WP_011133033.1,1,prochlorococcus/PMM1404.html,ok
pro,3,PMM1135,WP_011132768.1,1,prochlorococcus/PMM1135.html,ok
pro,4,PMT9312_0550,WP_002805854.1,1,prochlorococcus/PMT9312_0550.html,ok
pro,5,PMT9312_0549,WP_002807869.1,1,prochlorococcus/PMT9312_0549.html,ok
pro,6,PMT1742,WP_011131109.1,1,prochlorococcus/PMT1742.html,ok
pro,7,Pro0418,WP_011124573.1,1,prochlorococcus/Pro0418.html,ok
pro,8,NATL1_02111,WP_011822999.1,1,prochlorococcus/NATL1_02111.html,ok
syn,1,SYNPCC7002_C0017,WP_012308477.1,1,syn/SYNPCC7002_C0017.mhtml,ok
syn,2,SynWH7803_2236,WP_011934124.1,1,syn/SynWH7803_2236.html,ok
syn,3,BL107_07454,WP_009788712.1,1,syn/BL107_07454.mhtml,ok
syn,4,BL107_11441,WP_009789471.1,1,syn/BL107_11441.mhtml,ok
syn,5,BL107_16040,WP_009790367.1,1,syn/BL107_16040.mhtml,ok
syn,6,SYNW1812,WP_011128672.1,1,syn/SYNW1812.mhtml,ok
syn,7,SYNW1780,WP_011128640.1,1,syn/SYNW1780.mhtml,ok
syn,8,SynWH7803_0353,WP_011932278.1,1,syn/SynWH7803_0353.mhtml,ok
