locus_tag,gene_name,direction,signature_type,tolonen_peak_timepoint,tolonen_best_dir_rank,tolonen_best_global_rank,read_peak_timepoint,read_best_dir_rank,read_best_global_rank,cross_study_best_dir_rank,product,gene_category
PMM0020,,up,read_only,,,,3h,1.0,1,1.0,"DNA-binding protein, YbaB/EbfC family",Unknown
PMM0958,,up,tolonen_only_read_ns,6h,1.0,1,,,,1.0,conserved hypothetical protein (DUF1830),Unknown
PMM1592,pebB,down,tolonen_only_read_absent,48h,1.0,2,,,,1.0,phycoerythrobilin:ferredoxin oxidoreductase,Coenzyme metabolism
PMM1387,,down,read_only,,,,3h,2.0,24,2.0,conserved hypothetical protein,Unknown
PMM0105,ribD2,down,read_only,,,,3h,3.0,28,3.0,5-amino-6-(5-phosphoribosylamino)uracil reductase,Coenzyme metabolism
PMM1462,,up,tolonen_only_read_ns,6h,3.0,3,,,,3.0,conserved hypothetical protein,Unknown
PMM0815,hli,up,read_only,,,,12h,3.0,6,3.0,high light inducible protein,Stress response and adaptation
PMM0051,,up,read_only,,,,3h,3.0,3,3.0,cobQ/CobB/MinD/ParA nucleotide binding domain protein,Cell cycle and division
PMM0779,purS,up,read_only,,,,3h,4.0,4,4.0,"phosphoribosylformylglycinamidine (FGAM) synthase, PurS component",Nucleotide metabolism
PMM0722,,up,read_only,,,,3h,5.0,5,5.0,conserved hypothetical protein,Unknown
PMM0816,hli,up,read_only,,,,12h,5.0,11,5.0,high light inducible protein,Stress response and adaptation
PMM1041,,up,tolonen_only_read_absent,12h,5.0,10,,,,5.0,RmlC-like cupin domain-containing protein,Central intermediary metabolism
PMM1450,atpC,down,tolonen_only_read_absent,6h,5.0,17,,,,5.0,ATP synthase gamma chain,Photosynthesis
PMM0309,,down,read_only,,,,3h,6.0,39,6.0,conserved hypothetical protein,Unknown
PMM1240,,down,read_only,,,,24h,6.0,9,6.0,methyltransferase domain protein,Secondary metabolites
PMM1377,,up,read_only,,,,3h,6.0,6,6.0,NADP-binding domain-containing protein,Carbohydrate metabolism
PMM1028,,down,tolonen_only_read_ns,12h,7.0,15,,,,7.0,uncharacterized conserved secreted protein,Unknown
PMM0923,rsbW,down,read_only,,,,12h,7.0,12,7.0,anti-sigma regulatory factor,Transcription
PMM1205,,down,read_only,,,,3h,7.0,41,7.0,"possible NDP-hexose 3,4-dehydratase",Amino acid metabolism
PMM1015,,up,read_only,,,,24h,7.0,20,7.0,MAPEG family protein,Unknown
PMM0627,pcb,down,tolonen_only_read_ns,48h,8.0,30,,,,8.0,"divinyl-chlorophyll a/b binding light harvesting protein, photosystem II-associated",Stress response and adaptation
PMM0345,prxQ,down,read_only,,,,3h,8.0,42,8.0,2-Cys peroxiredoxin,Stress response and adaptation
PMM1629,rpoD8,down,tolonen_only_read_ns,24h,8.0,21,,,,8.0,"RNA polymerase sigma factor, type II",Stress response and adaptation
PMM0528,pgeF,down,tolonen_only_read_absent,12h,10.0,18,,,,10.0,multi-copper polyphenol oxidoreductase laccase family protein,Unknown
PMM1392,,down,read_only,,,,3h,10.0,48,10.0,possible Heat-labile enterotoxin alpha chain,Unknown
PMM1399,hli,up,read_only,,,,24h,10.0,25,10.0,high light inducible protein,Stress response and adaptation
PMM1540,secY,down,tolonen_only_read_ns,6h,10.0,31,,,,10.0,preprotein translocase SecY subunit,Post-translational modification
PMM1436,groL1,down,tolonen_only_read_ns,24h,10.0,33,,,,10.0,chaperonin GroEL,Stress response and adaptation
PMM0478,,down,read_only,,,,12h,11.0,21,11.0,C-terminal Rossman-fold domain of the monoglucosyldiacylglycerol epimerase MgdE,Lipid metabolism
PMM1508,tuf,down,tolonen_only_read_ns,24h,11.0,34,,,,11.0,elongation factor EF-Tu,Translation
PMM1388,,down,read_only,,,,3h,11.0,50,11.0,conserved hypothetical protein,Stress response and adaptation
PMM1463,glnB,up,tolonen_only_read_ns,6h,11.0,18,,,,11.0,nitrogen regulatory protein P-II,Stress response and adaptation
PMM0359,,up,tolonen_only_read_absent,12h,12.0,26,,,,12.0,conserved hypothetical protein,Unknown
PMM0571,,up,read_only,,,,24h,13.0,30,13.0,conserved hypothetical protein,Unknown
PMM0471,hli,down,read_only,,,,3h,13.0,62,13.0,high light inducible protein,Stress response and adaptation
PMM1037,,up,tolonen_only_read_absent,6h,13.0,24,,,,13.0,conserved hypothetical protein,Unknown
PMM0835,,down,read_only,,,,24h,13.0,18,13.0,conserved hypothetical protein,Unknown
PMM0228,psbO,down,tolonen_only_read_ns,48h,14.0,53,,,,14.0,photosystem II manganese-stabilizing protein PsbO,Photosynthesis
PMM1297,trpC,down,tolonen_only_read_absent,6h,14.0,40,,,,14.0,indole-3-glycerol phosphate synthase,Amino acid metabolism
PMM0379,,up,read_only,,,,3h,14.0,14,14.0,conserved hypothetical protein,Unknown
PMM1439,atpE,down,tolonen_only_read_absent,12h,15.0,25,,,,15.0,ATP synthase epsilon chain,Photosynthesis
PMM0993,,down,read_only,,,,12h,15.0,29,15.0,peptidase S51,Post-translational modification
PMM0041,,down,tolonen_only_read_absent,6h,15.0,41,,,,15.0,NADPH-dependent FMN reductase family protein,Carbohydrate metabolism
PMM1394,,down,read_only,,,,3h,15.0,69,15.0,protein of unknown function (DUF1651),Unknown
PMM1330,,up,read_only,,,,3h,15.0,15,15.0,conserved hypothetical protein,Stress response and adaptation
PMM0219,,down,read_only,,,,3h,16.0,70,16.0,conserved hypothetical protein,Unknown
PMM0373,cynS,up,read_only,,,,3h,16.0,16,16.0,cyanate hydratase,Central intermediary metabolism
PMM1032,lraI,up,read_only,,,,12h,16.0,34,16.0,"ABC-type Mn2+/Zn2+ transport system, periplasmic component",Stress response and adaptation
PMM1398,hli,up,read_only,,,,12h,17.0,35,17.0,high light inducible protein,Stress response and adaptation
PMM1551,rplP,down,tolonen_only_read_ns,12h,17.0,31,,,,17.0,50S ribosomal protein L16,Translation
PMM1031,,up,read_only,,,,24h,17.0,35,17.0,"ABC-type Mn2+/Zn2+ transport system, ATP-binding component",Transport
